,e_id,email_body,subject_line,user
34,_40.subject,"Unfortunately the Dream Matchup has been nixed by the Cotton Bowl. UT is no  longer in consideration for a Cotton Bowl berth. It would have been fun to  see how you fare against a top 5 team. Maybe we will see you next year. Of course, you will have to make it to the  Rose Bowl. Good luck in Dallas! Hook 'Em Texas Longhorns - 2001 National Champs",Dream Matchup,bass-e
35,_404.subject,Texas' first football game is this weekend and I have tickets for each of  you. I would like to leave around 3:00 on Friday to go to Austin. We will  come back on Saturday after the game. Let me know today if you still want to go.,The Mighty Horns,bass-e
36,_440.subject,"Remember:  The free add/drop period will end on Wednesday Aug30 at noon. After that  point, we will submit add/drop bids to Pat at pryder@enron.com. To review:  add/drops will be done through an auction system. If you want to  pick up a player you need to submit a bid by e-mail to Pat by 5:00 PM on  Wednesday of every week. The person with the highest bid will receive the  player ($0 bids are acceptable). Each team will start with $100 auction dollars. Each week the team with the  lowest total points year to date will get $12 added back to their total, the  team with the highest YTD pt total will get $1 added back and teams in the  middle will get their according dollar amount based on their rank in YTD pts. ALL TRADES WILL BE ASSESSED A $5.00 flat fee. Also, let me know how you want to handle dues (a total of $110). Should I  collect them up front ?",Transactions,bass-e
37,_458.subject,we had said we were going to vote on trades. we have had our first trade. some people have come to me requesting a vote   please go to the website and vote on the trade between the the Lie Downs and  the Rounders,trades,bass-e
38,_46.subject,"Rob,  I need to get a new gas daily product created. This product will be settled  daily against the Katy Plant Tailgate under the East-Houston-Katy subheading  in Gas Daily. Call with questions. Thanks,",New Product,bass-e
39,_463.subject,"i will give you schroeder and raymont harris. that is a fair offer considering your predicament at rb. by the way engram was drafted in the eight round, so was harris, and  schroeder was drafted in the 10th  that is an 8 and a 10 for 8",engram,bass-e
40,_474.subject,"Muhsin Muhammed and Elvis Grbac for Jeff Garcia, Raymont Harris, and Wayne  Chrebet? Gives you starting QB and depth at RB (all 4 of your RBs will likely not play  week 1 and maybe 2). Let me know",Trade,bass-e
41,_483.subject,"I was thinking that there would be a moratorium on the bidding process for  free agents until the start of the season. If you disagree, let me know. The moratorium will last until noon on Wednesday, August 30th. You can have  no more than 17 players on your roster at any time.",Pick-Ups,bass-e
42,_500.subject,"We have a new flag football season starting up in september. Let me know if  you are still interested in playing. If you are, I need $5 from everyone.",New League,bass-e
43,_532.subject,"I am taking a vote on if we need to redraw the draft order. Some, have said  that it is not fair for Steve to be handed the 6th slot. Let me know what  you think.",Redraw?,bass-e
44,_561.subject,"I know you had asked for some info on Texas previously. Sorry it is so late,  but here is a map of Tx pieplines. The most notable (that are no on the  current pipeline map) are Oasis, Lonestar, Valero, and HPL. Thanks,",Texas Pipeline Map,bass-e
45,_572.subject,We are going to meet at El Tiempo tonight for drinks at around 9:00 - 9:30. Let me know if you can make it. Eric,El Tiempo,bass-e
46,_601.subject,I offered you my 1 and 3 for your 1 and 4. I can throw in my 5 for your 6. Let me know. Eric,Trade,bass-e
47,_611.subject,"Last year we played with a mandatory Tight End. Do you want to continue this  and thus start 1 QB, 2 RBs, 3WRs, 1 TE, 1 K, 1 Def? Also,  I need to know if you would prefer to determine the draft order prior  to the draft. I would prefer to do this b/c it gives the opportunity to plan  and trade your picks. Let me know. Eric",Draft,bass-e
48,_625.subject,"It looks like we have our 12 teams. We will probably keep the same rules  from last year unless anybody has an objection. Still to be determined are  league fees, draft date , and free agent pickup protocol. I suggest that we  draft on August 27th at the Enron building on floor 26. For those of you  that can't make it, you can draft over the internet. We will be using cbs  sportsline again - I think that will be $8/person. Let me know if anyone has a problem with the draft date, i.e. can't make it,  too early, too late. If not, THE MEXIMULLETS look forward to a return to Prominence this year. You all do not stand a chance!",League is Set,bass-e
49,_639.subject,"It is coming up on that time again. The most glorious time of year. The  time of the year when life begins anew. No, not spring, FOOTBALL SEASON! That being said, it is time to start thinking about fantasy football again. I need to know who of you is interested in playing again, and any suggestions  on rule changes (i.e. scoring, fees, etc.). I was thinking about having the  draft in late August. Let me know if you have any friends that you think might want to play.",FANTASY FOOTBALL 2000,bass-e
50,_644.subject,"Celeste,  I am writing to get some clarification on how the recent changes to the  program affect my eligibility for promotion. At the end of last year you  informed me that I was not eligible for promotion to associate until the mid  year review (my 2 year anniversary). It was my impression that the only  reason that I was held back from promotion into the associate program was  tenure. Now, after reading the memo, it seems as if I will not be eligible  for promotion to associate until I complete 3 years in the program. I am wondering if I am still eligible for promotion to associate during this  PRC? Thank you in advance for your prompt attention to this matter. Eric Bass x3-0977",Program Changes,bass-e
51,_65.subject,I was thinking that if we run trips on offense the other team won't know what  hit them. So I will draw up some plays. What do you think?,Trips,bass-e
52,_661.subject,"You had to hit below the belt. We were having a friendly shit talking  contest, which, by the way, you started, and then you took the gloves off. What's up with that?",BRUTAL,bass-e
53,_668.subject,"I am trying to create the WkD for other areas beside HPL/HSX E but keep  getting an error msg for length. Is there a way to truncate these products  so that we can trade them on eol? Thanks,",Weekday Products,bass-e
54,_683.subject,"We are going to be rolling out a new product on EOL starting this bidweek. This product will be for physical delivery only on the weekdays (no weekend  delivery). Currently, the EOL/Sitara Bridge cannot handle this type of  logic, so these deals will have to be input manually. Let me know if you have further questions. Eric",24 x 5 Products,bass-e
55,_707.subject,"Dale/Melba,  I need a gas daily monthly index to be set up for both Carthage Hub and Agua  Dulce Hub. We will be trading basis swaps off of this differential. Call with questions. Thanks,",Carthage GAS DAILY MONTHLY INDEX,bass-e
56,_709.subject,"Earl,  James McKay referred me to you for information regarding historical  throughput numbers on HPL. Ed Gottlob and I are looking at ways to hedge the  pipe and need this data as far back as can accurately be obtained. Thanks,",Daily Throughput Data,bass-e
57,_734.subject,"Here is the wh data. I have included the file for February only. Keep in  mind that some deals, such as Costilla, have multiple tickets in the system  so it is impossible to estimate accrual revenue/expense in the system  accurately. I have made top level adjustments to these deals.",WH DATA,bass-e
58,_737.subject,We have a game tonight at 6:45. Please try to be there by 6:30. Let me know  whether or not you will be at the game. Eric,Game Tonight,bass-e
59,_753.subject,We have a game tonight at 6:45. Please try to be there by 6:30. Let me know  whether or not you will be at the game. Eric,Game Tonight,bass-e
60,_760.subject,"Jill,  I was wondering if I could get some information on the Costilla deal,  specifically the repurchase option. I need to know the term, locations,  volume and strike price of the call. Thanks,",Costilla,bass-e
61,_764.subject,"Tom has come to a decision on what to do with the ubiquitous accrual value. 60% of this value should be credited to Greg's Transport expense on a monthly  basis. Tom, in turn, will cover Ed on this portion of the expense. For example:  Accrual Value comes out to be $300,000 for the month of April. This means that:  Greg's portion of this value is 60% of $300,000 = $180,000 Tom's portion of this value is 40% of $300,000 = $120,000  Greg's Transport Expense is ($700,000) So, Tom will cover                      $180,000 of this expense Greg's adjusted Expense is   ($520,000)  Greg's P&L is net better off by the $180,000 of accrual value Tom's P&L is net better off by $120,000  of accrual value which had not been  previously recognized. Ed's P&L is net unchanged from all of the above. Call with questions. Eric x3-0977",FINAL DECISION ON ACCRUAL VALUE,bass-e
62,_769.subject,"Dale,  The Texas Desk needs to get a new product created. We already have a  baseload Index Corpus product. We need to create a DAY Corpus product with  the same parameters as this baseload product. Also, anything new on the 5 X 24? Thanks,",New Product,bass-e
63,_77.subject,"I know I might seem a little obsessed with this, but here are some of our  plays from our flag football league. There are plays on both tabs. I was thinking that we would start with me at left flanker, Paul Broderick at  center, Paul Burkhart at right slot, Steve at right flanker, Sarah at  blocker, and either Mike or Chris at blocker. Let me know if you have  objections. Also, I am sending this to Paul Burkhart so I am assuming that  he will play (P. Broderick can you confirm this?). Steve - if you have some plays from your team that you think might work let  me know. Let me know what you think. Hook 'Em!",Plays and other information,bass-e
64,_792.subject,"Our first game of the new season will be Monday night. I do not have the  time yet, but will let you know. Please let me know if you are still  interested in playing and whether you will be available Monday or not. Thanks,",Game this Monday,bass-e
65,_86.subject,"Here is the info on the tourney. We are one person short and could really= =20 use your help. Please try to let me know ASAP whether you can play so I ca= n=20 explore other alternatives. Thanks,",A&M/UT Flag Football Invitation,bass-e
66,_862.subject,"I still don't have any info on the schedule, but I do need to collect dues  for the upcoming season. Dues are $5 and that includes a jersey and cost of  the league. Let me know if you are still in for the season. Eric",Upcoming Season,bass-e
67,_88.subject,"Faith,  Attached is information regarding the Texas Desk as it relates to the current  Texas market, EOL performance metrics, and Post HPL Action Plan. Please do not hesitate to call with questions. Thanks,",Texas Desk - Post HPL,bass-e
68,_894.subject,"Janet,  Here is the model. I have added unit costs. Let me know if you have any  other questions. I still need to get the delivery locations for the CSW deal. Thanks,",HL&P,bass-e
69,_916.subject,"Hey Danny,  Here is a prospective roster for Flag Football. All are Enron employees. Eric Bass Brian Hoskins Tim Blanchard Matt Lenhart Luis Mena Jeff Gossett Ken Shulklapper Amir Ahanchian Nick Hiemstra  Can you tell us what night the games will be on? When do you need the due? Thanks,",Roster,bass-e
70,_954.subject,Attached is a listing of unresolved Issues between Tom and Greg Sharp. I  have not included the facility charges - do you want me to add those? Please feel free to add on to my list anything that I have left off.,Unresolved Tx/Prod Svcs Issues,bass-e
71,_970.subject,"The league is complete. Please check your fees on the website and send me a  check for what you owe. Here are the final standings and payouts (based on what I have collected):  1) The Wranglers - $281 2) Rounders -           $108 3) PLOVE -                $43                                      $432  The amounts above will change as people pay their fees. My address is  2512 Milam St. #5216 Houston, TX 77006  If you won $ please give me your address and I will send you a check! Thanks,",Fantasy Football - FEES,bass-e
72,_979.subject,"I left you a msg, but here is the info. STT - map like HPL Zone #1 - Thompsonville HCO - map like HPL Zone #5 - Edna (Agua Dulce Curves)  Call with questions. x3-0977",Zone mappings,bass-e
73,_989.subject,Is anybody up for going to Two Rows tonight? I promise I won't get AS drunk  tonight. We'll be there around 8:00. Be there or be SQUARE!. Eric,Saturday night follow up,bass-e
74,_992.subject,"That sounds lika an awesome system. My bro works for compaq and was pretty  impressed with the hardware. Hope it didn't set you back too much. I 'd like to get together with you when you come in. Let me know when you  are coming and I would like my boots. My info is:  Work # (713)853-00977 Home #(713)526-8304 Cell #(713)213-1996 Address: 2512 Milam St #5216                    Houston, TX 77006   Let me know. eric",Boots,bass-e
75,_10.subject,"Did Debbie talk with the two of you before putting together her memo? Is she  raising this to me because she wasn't comfortable with the outcome of her  conversations with you two, or did she skip that step? Just curious, before  I send any type of response. I would need details from you around the  process for updates to Entelligence and Global Counterparty. Surely one  feeds the other? --Sally",Information in Entelligence vs Global Counterparty,beck-s
76,_1002.subject,"Yes, we will definitely host you and the students to a tour of Enron Field  and dinner on the evening of January 31 (if that is still the best night for  your schedule). I talked with Lexie earlier this week and told her that I  was going to cover this, and she thought that she could find some dollars in  her budget so that we can perhaps split the cost. Either way, consider it  done. I am glad that you are including the names of the students to attend. However, checking the attachment on your second e:mail message, I can not  bring up the attachment. Can you try that again and check with Patti to  make sure she has it in readable form? I will be in London all of next week,  and I would like to send invitations to the students about the tour and  dinner. I will need their e:mail addresses to do so. I don't know whether  or not you included that on your list. Jody said that Ruggles for game watching was really cold!! I wonder if that  could be a problem on the 31st? You never know with Houston weather. What  do you think? We could do the tour and then go to Irma's Southwest Grill (2  blocks from the stadium, same great food with a more sleek atmosphere - owned  by Irma's son, Luis). I will be in touch with Patti while I am in London next week to make sure  that plans are progressing on this. We will include our recent OU grads as  well. I will save your championship game souvenirs and give them to you when I see  at the end of January. --Sally",January 31st Tour and Dinner,beck-s
77,_1007.subject,"Well, I didn't get this out to you before I left the office last night. I  was still pouring over bonus info until 9:30, and decided to call it quits at  that point. Here are some of the things that I would like to do next week:   review your action plan to move the close and officialization of London  books to same day,   to replicate, if appropriate,  an Operational Risk information session for  London counterparts (you and I can  review early in the week what we are  doing here in Houston today and modify the info for Europe)    discuss the Doorstep process with you and, if you deem appropriate, your  business controllers in the   London office who will participate in Doorstep  reviews this year (clear up and questions and get your input  on how to  continually improve the process),    discuss with Mark Pickering the technology dependencies of the London office  related to speeding up   London's information for the corporate DPR   do some planning with you for the February 12 & 13 ASE   discuss the feasibility of utilizing our operational pricing model in London    discuss your ideas and thoughts on CommodityLogic and other ideas around  potential commercialization of  mid and back office services    In addition, I would like to meet with anyone in the London office that you  think would be beneficial. Through Nicki Scott, I understand that Michael  Brown would like to meet with me so we are setting that up. I will also  spend some time with Beth Apollo and Ted Murphy while I am there. And I plan  to meet with Fernley as well. Any other suggestions on topics or people to see? I think that we have lunch already on the calendar for Wednesday.",Topics for next week,beck-s
78,_1009.subject,"I hope that your holidays were wonderful. I thoroughly enjoyed the week of  vacation that I took before Christmas. It was fun to be home with the  children, although I certainly worked hard -- up every night until very late",Visit to London,beck-s
79,_101.subject,"I hope that each one of you will arrange your schedules tomorrow to make the  time to vote. Also, please encourage everyone on your staff to take the time  to vote tomorrow. For those employees who typically work later hours,  please suggest that they take the time to vote before coming to the office. Everyone should feel that they have sufficient time to make their vote  count. It should be interesting to watch the returns tomorrow evening. Hopefully, we will have all played a part in the outcome.",Time for Voting,beck-s
80,_1012.subject,"I plan to work out of the London office during the week of January 15. I  will leave Houston on Sunday and will be in the London office starting around  noon on Monday. I will be back in the Houston office on Monday, January 22. The primary goals of the trip are:    to work with Mike Jordan on an action plan to move the close and  officialization of London books to same  day,   to replicate an Operational Risk information session for London counterparts  (we are doing this in Houston  on January 11 per my e:mail to you for  managers and above within Operations),   to hold a training session for business controllers in the London office who  will participate in Doorstep   reviews this year (outside EEL),    to discuss with Mark Pickering the technology dependencies of the London  office related to speeding up  London's information for the corporate DPR   Patti Thompson (x39106) will have a detailed itinerary in hand if you need  to reach me at any time next week.",London - Week of January 15th,beck-s
81,_1014.subject,"Right now, I am booked at 47 Park for next week. I would love to be closer  to the office, but I don't know if there is anything that makes sense. Any  suggestions? If not something close to the office, would you suggest another  spot besides 47 Park?",London Hotel,beck-s
82,_1021.subject,"I will be out of town on January 19, so Brenda Herod has agreed to make the  presentation for Rick Causey. Please replace my name with hers for all  communication regarding this Analyst Orientation. Thanks.",Change in Presenter - Analyst Orientation,beck-s
83,_1022.subject,"Please join me on Thursday, January 11 from 1:00 to 4:00 pm for a special  information session for the Operations Management teams supporting Enron  Americas, Enron Global Markets and Enron Industrial Markets. We will focus  on assessing, managing and mitigating operational risk. Details on the  location for the meeting will be sent to you early this week. I look forward to seeing everyone at this meeting on the 11th. The things  that we will discuss will be important for each and every one of you as you  carry out your roles in 2001. I hope that you will make every effort to  attend. Please let me know as soon as possible if you have a conflict that  will keep you from attending the meeting.",January 11 - Managing Operational Risk,beck-s
84,_1024.subject,"I just composed a somewhat lengthy e:mail about the anniversary trip, and  then closed out Lotus Notes and checked discard changes. So it is gone - but  not sent!! Can you e:mail me back your office phone number and if it is  convenient for you, I will give you call and use old fashioned technology.",Operator Error,beck-s
85,_1026.subject,"Sheri has told me that you made an announcement recently. Congratulations on  the baby! I hope that you are feeling well. I am so happy for you and your  husband. My how your lives will change!! But how enriched they will be. Our three are so much fun. I will also always be honest with expectant moms  and say that a new baby is an incredible amount of work as well and that it  sometimes takes a while to really enjoy the experience. If you ever want  some funny stories about adjusting to being a first-time mom, just let me  know. I would be glad to share my experience with you. --Sally",Congratulations,beck-s
86,_1029.subject,"I am sure that you are enjoying your break from school. It is always great  to have finals behind you and several weeks of vacation stretching in front  of you. No doubt you are spending time thinking about your next step after  graduation. I would be glad to answer any questions that you may have about  your offer while you are going through that process. Enron had a fantastic  year in 2000, and we are excited about what we will accomplish in 2001. We  hope that you will be a part of that.",Enron Offer,beck-s
87,_1031.subject,"I hope that you are enjoying your break from school, and am sure that it is  even more enjoyable with that Number 1 ranking decided! My husband (an OU  grad) and I were at Orange Bowl, and it was really exciting to be there and  see the team absolutely stop FSU. If you have any questions regarding your job offer from Enron while you are  on vacation, please give me a call. 2000 was a banner year for us at Enron,  and we were excited about what we will accomplish in 2001. I hope that you  will join us and be a part of that. My office number is 713-853-5926. If it is more convenient for you, feel  free to call me at home as well. That number is 281-370-8568. Boomer Sooners!!! Sally Beck sally.beck@enron.com",Sooners and Enron,beck-s
